epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,895.78,0.9238,1.34372,1.01216,0.93982,0.95615,0.98146,0.76298,0.81854,1.32053,1.02851,0.0008318,0.0008318,0.0008318
61,909.884,1.01191,1.49325,1.06488,0.93746,0.91774,0.96619,0.72164,0.87325,1.42326,1.04308,0.000812,0.000812,0.000812
62,924.026,1.20242,1.44475,1.11042,0.8993,0.91133,0.94604,0.68576,0.92133,1.34632,1.05793,0.0007922,0.0007922,0.0007922
63,938.197,0.93209,1.345,1.02191,0.8993,0.91133,0.94604,0.68576,0.92133,1.34632,1.05793,0.0007724,0.0007724,0.0007724
64,952.45,0.91992,1.33848,1.00503,0.91074,0.93878,0.97082,0.72231,0.86946,1.26223,1.0669,0.0007526,0.0007526,0.0007526
65,966.73,0.94928,1.23948,1.07003,0.94007,1,0.98686,0.74374,0.8564,1.17269,1.07728,0.0007328,0.0007328,0.0007328
66,980.912,0.99002,1.22539,1.11271,0.97404,1,0.9906,0.76303,0.81193,1.08183,1.08823,0.000713,0.000713,0.000713
67,995.115,0.93221,1.16047,1.08093,0.97404,1,0.9906,0.76303,0.81193,1.08183,1.08823,0.0006932,0.0006932,0.0006932
68,1009.37,0.9483,1.17742,1.08065,0.97455,1,0.9882,0.76652,0.77264,1.11767,1.05756,0.0006734,0.0006734,0.0006734
69,1023.67,0.94561,1.08983,1.11108,0.99891,1,0.995,0.77362,0.74776,1.10862,1.01757,0.0006536,0.0006536,0.0006536
70,1038.09,0.84985,1.15382,0.96182,0.98138,1,0.995,0.76549,0.78826,1.24386,1.01743,0.0006338,0.0006338,0.0006338
71,1053.04,0.8992,1.12587,1.06546,1,0.97183,0.99422,0.76222,0.80753,1.18758,0.9969,0.000614,0.000614,0.000614
72,1067.94,0.92943,1.17447,1.0672,1,0.97183,0.99422,0.76222,0.80753,1.18758,0.9969,0.0005942,0.0005942,0.0005942
73,1083.09,0.8191,1.29816,0.95009,0.94213,0.99672,0.9918,0.75464,0.79854,1.29712,0.97809,0.0005744,0.0005744,0.0005744
74,1097.93,0.94433,1.1767,1.04816,0.94228,0.99951,0.98238,0.77373,0.76488,1.29601,0.9887,0.0005546,0.0005546,0.0005546
75,1112.91,0.74229,1.26417,0.95583,0.93607,0.97959,0.98741,0.78483,0.7475,1.20846,0.99544,0.0005348,0.0005348,0.0005348
76,1127.96,0.91958,1.08687,1.04402,0.93607,0.97959,0.98741,0.78483,0.7475,1.20846,0.99544,0.000515,0.000515,0.000515
77,1142.94,0.84147,1.16574,0.9755,0.97994,0.99718,0.9926,0.79947,0.71711,1.11161,0.99113,0.0004952,0.0004952,0.0004952
78,1157.83,0.85544,1.14751,1.02743,0.97795,1,0.9946,0.82894,0.69268,0.98607,0.992,0.0004754,0.0004754,0.0004754
79,1172.75,0.8867,1.12698,1.04902,0.97754,1,0.993,0.83121,0.70159,1.06607,1.00247,0.0004556,0.0004556,0.0004556
80,1187.72,0.79244,0.9866,1.02307,0.97754,1,0.993,0.83121,0.70159,1.06607,1.00247,0.0004358,0.0004358,0.0004358
81,1202.75,0.78743,1.2119,0.95341,0.97822,1,0.9946,0.8164,0.70249,1.05815,0.99937,0.000416,0.000416,0.000416
